experiment	instrument	ms_ms_identified_percent	ms_ms	ms_ms_submitted	ms_ms_identified	peptide_sequences_identified	peaks_sequenced_percent	peaks_repeatedly_sequenced_percent	evidence__m_z	evidence__mass	evidence__score	evidence__uncalibrated_calibrated_m_z_ppm	evidence__mass_error_ppm	evidence__uncalibrated_mass_error_ppm	evidence__max_intensity_m_z_0	evidence__retention_length	evidence__number_of_data_points	evidence__number_of_scans	evidence__intensity	evidence__charge2_prop	evidence__ms_ms_count1_prop	ms_scan__cycle_time	ms_scan__ion_injection_time	ms_scan__total_ion_current	ms_scan__base_peak_intensity	ms_scan__peak_length	ms_scan__identified_multiplets_s	ms_scan__ms_ms_s	ms_scan__identified_ms_ms_s	ms_scan__ms_ms_identification_rate_percent	ms_scan__intens_comp_factor	ms_scan__ctcd_comp	ms_scan__raw_ov_ft_t	ms_scan__agc_fill	msms_scan__ion_injection_time	msms_scan__total_ion_current	msms_scan__collision_energy	msms_scan__base_peak_intensity	msms_scan__precursor_intensity	msms_scan__score	protein_counts	performance
HF230220_02	hf	42	43152	47297	19857	14023	5.1	19	626.750269	1361.59217	69.01	2.28705	0.0075876	2.166	630.65659397313	0.54779	64	24	21.6384747703907	9.0290318695613	9.01710905716173	0.24312	10	24.5442749143266	21.5875614525601	4.185	0.1318	2.8725	0.4077	12.66	0.8176	1.245	19.0531399711792	0.170000001788139	65	18.007087502874	28	14.9737422032218	18.6825652236849	28.1066702840194	2106	warning
HF230220_03	hf	43	42951	46974	20186	14238	5.1	19	627.334147	1367.65361	69.423	2.5777	0.018314	2.4337	630.863674407621	0.54425	64	23	21.6760741479528	9.03262091330465	9.0280863809128	0.24312	10	24.6015590779466	21.7402419242274	4.572	0.1439	2.872	0.3992	13.11	0.824	1.194	19.0948915912613	0.180000007152557	65	18.1017500270894	28	15.0325623590011	18.7447645616504	29.1490144599425	2093	warning
QEP220111_01	qep	37	36785	40786	15276	11271	4	16	584.301001	1267.134325	67.032	2.16095	-0.00142205	2.06635	586.765023813098	0.68462	98	36	21.5174444844842	8.85998131323114	8.84444681739099	0.49484	10	24.6942362948265	20.4835520797426	8.302	0.7816	3.909	1.262	26.78	0.8315	1.45	19.1426914378902	0.280000001192093	65	17.7891515247083	28	14.5949660220164	18.4926010039993	28.8057677212291	1769	bad
QEP220111_02	qep	38	36111	39730	14966	11313	4	15	584.284408	1270.58298	67.344	2.418	-0.000879285	2.3248	585.852296862853	0.65905	94	35	21.490399379802	8.86636652490207	8.88746493831846	0.490375	10	24.53284909234	20.3665570087847	7.473	0.6981	3.645	1.081	25.96	0.8121	1.599	19.0161069401197	0.259999990463257	65	17.8006345255651	28	14.6036842926913	18.4972043095692	29.1490144599425	1799	bad
QEP220113_02	qep	27	24078	26477	7251	5409	2.9	12	611.297401	1348.7272	49.358	0.39731	0.067893	0.42645	613.335945857963	0.488415	130	50	19.7173785526817	7.83992895335561	8.19162231580581	0.48692	10	24.2215505417909	19.3680289399162	6.308	0.881	3.628	1.064	29.47	0.7774	3.118	18.758230047625	0.280000001192093	65	16.0249015700621	28	13.1262446855094	16.8342864396063	16.2939619434463	922	bad
QEP220113_03	qep	27	25633	28014	7565	5663	3.2	12	614.844822	1360.70991	49.5	0.79495	0.041426	0.79183	615.819248589984	0.50698	129	49	19.8179548312303	7.87359099824548	8.23622507098138	0.48752	10	24.2908788862146	19.3011299731834	6.449	0.8605	3.868	1.065	27.77	0.7847	2.606	18.8166033937211	0.239999994635582	65	16.0253775111864	28	13.1095858323124	16.8735392990222	16.1385391117603	926	bad
QEP220113_01	qep	27	16504	17937	4782	3490	2.4	13	623.624263	1372.74496	46.39	0.40292	0.011616	0.43587	623.99765502073	0.5003	157	59	19.5454207855233	7.34007207315781	7.69369587512378	0.36942	10	23.8012426028987	19.6198474173061	5.644	0.5349	2.591	0.6993	28.36	0.7395	2.819	18.4118266588695	0.219999998807907	65	15.6613466713025	28	12.8841991383938	16.7191693454096	15.5919466496924	641	bad
QEP220114_01	qep	42	49577	56094	23701	15759	4.3	17	632.368995	1369.66263	87.251	2.65775	-0.002086	2.65185	634.353371881808	0.71632	87	34	24.0981635163519	9.29521872237384	9.23275250021483	0.96176	2.4	29.815927905274	25.3107562923273	12.05	2.667	7.619	3.345	47.695	1.4009	0.43	21.1041349032826	1	65	20.8471277119826	28	17.0699112351893	21.1078035647067	42.8348287941989	2496	warning
QEP220114_02	qep	42	49622	56493	23473	15479	4.4	17	632.296592	1377.67511	85.457	2.5167	-0.015382	2.5361	634.789346258298	0.703	86	33	23.8150916387321	9.25186060574635	9.21952457202399	0.99226	3.2	29.4075755087899	24.9304634895717	12.52	2.5915	7.632	3.242	46.205	1.3888	0.4575	21.0788969424426	1	65	20.5412289843413	28	16.7507462215203	20.8025343112933	41.5021466911314	2455	warning
QEP220203_01	qep	38	38104	41853	15781	11423	4.2	17	599.294639	1291.62644	65.395	1.40635	0.01819	1.3986	602.298831928246	0.70694	113	42	21.2954685210108	8.84945260122429	8.76835580654089	0.58273	10	25.9889101828304	21.4014024157356	9.4615	1.4705	5.54	1.8775	35.25	1.03515	2.07	20.081942174921	0.660000026226044	65	17.6459327948696	28	14.4971033556679	18.3078442245093	26.5410506739132	1654	bad
QEP220203_02	qep	38	39512	43311	16256	12062	4.4	16	600.82716	1298.62149	66.994	1.3304	0.0254135	1.30205	602.316867282989	0.68402	106	39	21.4178195352324	8.8859217162029	8.87248381570541	0.58685	10	26.1418307631627	21.4435678433526	10.78	1.545	5.747	1.9985	35.105	1.06315	1.945	20.1915305809282	0.600000023841858	65	17.7358865140128	28	14.5939746145593	18.4207636337765	26.5980162358796	1726	bad
QEP220203_03	qep	44	44887	48630	21569	16253	4.8	15	626.8158555	1381.665565	73.039	1.52185	-0.00326795	1.48605	628.845966171364	0.67343	88	32	22.200496945674	9.1542839144364	9.25468545636472	0.73511	8.9	27.7126003588559	22.9469590022173	11.705	2.167	6.679	2.56	40.425	1.31705	1.2695	20.9248986316191	1	65	18.9210563978037	28	15.4769043855131	19.4833900737358	36.5563930354674	2253	warning
QEP220203_04	qep	37	31257	34428	12866	9619	3.8	18	568.321514	1212.71902	72.643	1.3239	-0.0071454	1.2921	571.290709324961	0.7131	116	42	21.7392532125673	8.79265783371466	8.63309870923053	0.47894	10	24.4675903763287	20.3617999504613	6.6435	0.4023	2.733	0.5421	21.28	0.8033	3.325	18.9552917545158	0.439999997615814	65	18.2297576394655	28	15.0036496670859	18.8061647043894	34.1861071535362	1571	bad
QEP220203_05	qep	40	32217	35463	14300	10974	3.9	17	569.7933865	1212.471825	68.557	1.2929	0.00188275	1.2702	572.819304906892	0.70166	107	40	21.6785047190743	8.93055675842697	8.80945879084202	0.48111	10	24.427711307252	20.4787222281367	6.76	0.3963	2.666	0.606	25.08	0.799	3.046	18.9240965792195	0.400000005960464	65	18.2671890222266	28	15.0254423995324	18.8418922497946	34.3783633291701	1751	warning
QEP220203_06	qep	37	32216	35524	13312	10252	3.9	17	574.795166	1221.63343	71.518	1.2248	0.015588	1.2082	576.783733205223	0.69747	108	40	21.7306144180485	8.86011390133336	8.73831808650804	0.48157	10	24.5167714991836	20.5954141165673	6.538	0.4447	2.772	0.64	22.43	0.8096	3.006	18.9988884263744	0.409999996423721	65	18.2267743638433	28	14.9940218969797	18.8226929651809	33.7966039594783	1633	bad
QEP220209_01	qep	44	47540	50699	22478	16139	4.7	14	644.394454	1459.80348	67.494	3.6816	-0.012941	3.659	646.322675788263	0.69659	86	30	21.7742256492691	8.97597951051573	9.27694267329241	1.2122	10	27.5053672109262	22.5940133576112	13.175	2.4235	7.753	3.0085	41.535	1.3901	1.071	21.0815187262572	0.790000021457672	65	18.1486007054781	28	14.7846348419354	19.0139805292821	30.2543369040432	2088	warning
QEP220209_02	qep	44	47226	50197	21944	15738	4.7	14	648.0040485	1464.674355	68.787	3.89185	-0.021258	3.87185	650.36985205529	0.69718	86	30	21.8358214309695	8.97535908172327	9.23659944655739	1.1489	10	27.4463220677639	22.5671372437361	13.01	2.284	7.678	2.852	39.46	1.3824	1.037	21.0657246356442	0.759999990463257	65	18.2289830489658	28	14.8326180988448	19.0769352818194	30.5700833750315	2086	warning
QEP220209_03	qep	45	47682	50823	22750	16687	4.7	14	643.5120385	1457.74021	69.639	3.6859	-0.018038	3.6548	645.963527976188	0.67554	84	29	21.9427421420727	9.01821812552017	9.32682594619875	1.2323	10	27.727380955063	22.7954177822076	13.57	2.495	7.8025	3.0355	41.505	1.42055	1.017	21.1607073988044	0.920000016689301	65	18.444149447431	28	15.0031665066652	19.2533053501294	32.6446364254631	2179	good
QEP220209_04	qep	45	47395	50388	22864	16801	4.7	14	643.300975	1454.78095	69.423	3.885	-0.019811	3.8593	646.331562053456	0.69012	84	30	21.9558173178162	9.03736703635826	9.3315811161421	1.1494	10	27.6456766743753	22.7824678307853	13.115	2.4075	7.731	3.074	40.885	1.41395	0.985	21.1419819928506	0.889999985694885	65	18.4679398223082	28	15.0284672809155	19.2775869409135	32.9993194227179	2211	good
